threads,memoria,tempo_execucao
-1,-1,252.25834915351786
-1,-1,249.84918370787491
-1,-1,252.82207976000802
-1,-1,244.73921900274098
-1,-1,250.931554973734
-1,-1,251.89490704764543
-1,-1,256.00377904044456
-1,-1,246.03459648367343
-1,-1,243.22776215143452
-1,-1,240.0870412033156
-1,-1,246.2942908151317
-1,-1,249.26864772010416
-1,1,219.55350488682186
-1,1,225.75464111823894
-1,1,219.05683191800907
-1,1,222.39915697201639
-1,1,220.42533381414233
-1,1,216.23842554203426
-1,1,216.33129445673336
-1,1,215.20665029944936
-1,1,218.4621271356179
-1,1,214.7406218850172
-1,1,222.73024090493797
-1,1,225.43996097043959
1,-1,218.10990971878735
1,-1,211.3101807170507
1,-1,204.85782552673973
1,-1,202.91209847514955
1,-1,206.5276058505654
1,-1,212.44475724001285
1,-1,208.1453594690266
1,-1,212.82337088981734
1,-1,207.02145847068377
1,-1,202.41196811916626
1,-1,215.08515290722613
1,-1,204.73296696553308
1,1,122.44179598394585
1,1,122.53160976732761
1,1,143.70267560299166
1,1,116.8161086220035
1,1,118.23600790603794
1,1,117.62276740305363
1,1,126.57807401819073
1,1,138.23000544474348
1,1,127.49558805833982
1,1,121.42262667036272
1,1,116.368290697275
1,1,121.9874307888126
